NOMS	la confiture	果酱
NOMS	le légume	蔬菜
NOMS	le lait	牛奶
NOMS	le café au lait	牛奶咖啡
NOMS	le bol	碗
NOMS	une tartine	面包片
NOMS	un croissant	月牙形面包，牛角面包
NOMS	la boulangerie	面包店
NOMS	Parisien, ne	巴黎人
NOMS	le menu	菜谱
NOMS	un sandwich [sãdwitʃ]	三明治
NOMS	la ville	城市
NOMS	le repas	饭
NOMS	un hors-d'œuvre	冷盘
NOMS	la viande	肉
NOMS	le fromage	奶酪
NOMS	le dessert	餐后小吃
NOMS	le fruit	水果
NOMS	le gâteau	糕点
NOMS	la glace	冰淇淋
NOMS	le vin	葡萄酒
NOMS	la bière	啤酒
NOMS	l'eau n. f.	水
NOMS	la soupe	汤
NOMS	la journée	白昼，一天
VERBES	sentir v. t.	闻，散发出……气味
VERBES	acheter v. t.	购买
VERBES	manger v. t.	吃，吃饭
VERBES	approcher v. t. ind	接近，靠近
VERBES	préférer v. t.	更喜欢，宁愿
VERBES	boire v. t.	喝
VERBES	raconter v. t.	讲述
VERBES	déjeuner v. i.	吃午饭，吃饭
ADJECTIFS	délicieux, se	美味的，精美的
ADJECTIFS	proche	邻近的，接近的
ADJECTIFS	important, e	重要的，重大的
ADJECTIFS	copieux, se	丰盛的
AUTRES	peu adv.	少，不多
AUTRES	seulement adv.	仅仅，只是
AUTRES	proche de	离……近
AUTRES	à la place de	代替
AUTRES	à table	进餐
