NOMS	un autobus	公共汽车
NOMS	interprète	翻译
NOMS	l'espagnol n. m.	西班牙语
NOMS	la surface	面积，表面
NOMS	les grandes surfaces	大型超市
NOMS	le supermarché	超级市场
NOMS	l'hypermarché n. m.	大型超级市场
NOMS	le succès	成功，成就
NOMS	un siècle	世纪
NOMS	la population	人口，（全体）居民
NOMS	le commerce	商业，贸易
NOMS	le centre	中心，中央
NOMS	la circulation	交通，流通
NOMS	les gens n. m. pl.	人，人们
NOMS	le parking [parkiŋ]	停车场
NOMS	client, e	顾客
NOMS	les courses n. f. pl.	购物
NOMS	le rayon	货架
NOMS	la plupart	大多数，大部分
NOMS	le produit	产品，制品
NOMS	le plastique	塑料
NOMS	le niveau	水平，程度
NOMS	le niveau de vie	生活水平
NOMS	le réfrigérateur	冰箱
NOMS	la provision	采购的食物
NOMS	la durée	期，一段时间
NOMS	commerçant, e	商人，商贩
NOMS	un achat	购买
NOMS	épicier, ère	食品杂货商
VERBES	rouler v. i.	转动，行驶
VERBES	augmenter v. i. ou v. t.	增长，提高
VERBES	changer v. i. ou v. t.	改变
VERBES	tenir compte de	考虑，重视
VERBES	bloquer v. t.	阻塞
VERBES	se garer	停放（车辆）
VERBES	prévoir v. t.（变位同 voir）	预备
VERBES	envelopper v. t.	包裹
VERBES	choisir v. t.（第二组动词）	选择
VERBES	posséder v. t.	拥有
VERBES	remplacer v. t.	代替
VERBES	se presser	匆忙，赶紧
ADJECTIFS	intelligent, e	聪明
ADJECTIFS	étroit, e	狭窄
ADJECTIFS	situé, e	位于……
AUTRES	plus adv.	比……更，更多
AUTRES	vite adv.	快
AUTRES	aussi adv.	和……同样，一样，也
AUTRES	de plus en plus	越来越……
AUTRES	en effet loc. adv.	因为，由于
AUTRES	facilement adv.	容易地，轻易地
AUTRES	donc conj.	因此，所以
AUTRES	en dehors de loc. prép.	在……外面
AUTRES	d'autre part loc. adv.	此外，另一方面
AUTRES	or conj.	不过，然而
AUTRES	rapidement adv.	迅速地
AUTRES	tranquillement adv.	平静地，安心地
AUTRES	enfin adv.	最后，总之
AUTRES	pourtant adv.	然而，可是
